source,host,sourcetype,eventtype,punct,process,"src_ip",action,"_raw","_time"
"tcp:514",localhost,syslog,,"___::_,,,,-_:_[]_(_)_[:]_,___",medic,,,"May  5 10:24:05 management,engine,reporting,efc,ustat-0 medic: [RS] (operational failure) [sysmon:check] failed, taking corrective action",1209997445
"tcp:514","45.0.12.112",syslog,,"___::_..._[]:__...#:___'../':__:_'__(_)'____()",named,,,"May  5 10:23:49 45.0.12.112 named[30381]: client 216.231.45.51#2063: updating zone 'enet.interop.net/IN': update failed: 'RRset exists (value dependent)' prerequisite not satisfied (NXRRSET)",1209997429
"tcp:514",localhost,syslog,,"___::_,,,,-_:_[]_(_)_[:]_,___",medic,,,"May  5 10:23:04 management,engine,reporting,efc,ustat-0 medic: [RS] (operational failure) [sysmon:check] failed, taking corrective action",1209997384
"tcp:514",localhost,syslog,,"___::_,,,,-_:_[]_(_)_[:]_,___",medic,,,"May  5 10:22:03 management,engine,reporting,efc,ustat-0 medic: [RS] (operational failure) [sysmon:check] failed, taking corrective action",1209997323
"tcp:514",localhost,syslog,,"___::_,,,,-_:_[]_(_)_[:]_,___",medic,,,"May  5 10:21:02 management,engine,reporting,efc,ustat-0 medic: [RS] (operational failure) [sysmon:check] failed, taking corrective action",1209997262
"tcp:514","45.0.12.112",syslog,,"___::_..._[]:__...#:___'../':__:_'__(_)'____()",named,,,"May  5 10:20:56 45.0.12.112 named[30382]: client 45.0.12.20#32789: updating zone 'enet.interop.net/IN': update failed: 'RRset exists (value dependent)' prerequisite not satisfied (NXRRSET)",1209997256
"tcp:514","45.0.12.112",syslog,,"___::_..._[]:__...#:___'../':__:_'___'____()",named,,,"May  5 10:20:56 45.0.12.112 named[30382]: client 45.0.12.20#32789: updating zone 'enet.interop.net/IN': update failed: 'name not in use' prerequisite not satisfied (YXDOMAIN)",1209997256
"tcp:514","45.0.12.112",syslog,,"___::_..._[]:__...#:___'../':__:_'__(_)'____()",named,,,"May  5 10:20:56 45.0.12.112 named[30382]: client 45.0.12.20#32789: updating zone 'enet.interop.net/IN': update failed: 'RRset exists (value dependent)' prerequisite not satisfied (NXRRSET)",1209997256
"tcp:514","45.0.12.112",syslog,,"___::_..._[]:__...#:___'../':__:_'___'____()",named,,,"May  5 10:20:56 45.0.12.112 named[30382]: client 45.0.12.20#32789: updating zone 'enet.interop.net/IN': update failed: 'name not in use' prerequisite not satisfied (YXDOMAIN)",1209997256
"tcp:514",localhost,syslog,,"___::_,,,,-_:_[]_(_)_[:]_,___",medic,,,"May  5 10:20:01 management,engine,reporting,efc,ustat-0 medic: [RS] (operational failure) [sysmon:check] failed, taking corrective action",1209997201
"tcp:514",localhost,syslog,,"___::_,,,,-_:_[]_(_)_[:]_,___",medic,,,"May  5 10:19:00 management,engine,reporting,efc,ustat-0 medic: [RS] (operational failure) [sysmon:check] failed, taking corrective action",1209997140
"tcp:514","45.0.12.112",syslog,,"___::_..._[]:__...#:___'../':__:_'__(_)'____()",named,,,"May  5 10:18:49 45.0.12.112 named[30382]: client 216.231.45.51#2047: updating zone 'enet.interop.net/IN': update failed: 'RRset exists (value dependent)' prerequisite not satisfied (NXRRSET)",1209997129
"tcp:514",localhost,syslog,,"___::_,,,,-_:_[]_(_)_[:]_,___",medic,,,"May  5 10:17:59 management,engine,reporting,efc,ustat-0 medic: [RS] (operational failure) [sysmon:check] failed, taking corrective action",1209997079
"tcp:514",localhost,syslog,,"___::_,,,,-_:_[]_(_)_[:]_,___",medic,,,"May  5 10:16:58 management,engine,reporting,efc,ustat-0 medic: [RS] (operational failure) [sysmon:check] failed, taking corrective action",1209997018
"tcp:514",localhost,syslog,,"___::_,,,,-_:_[]_(_)_[:]_,___",medic,,,"May  5 10:15:57 management,engine,reporting,efc,ustat-0 medic: [RS] (operational failure) [sysmon:check] failed, taking corrective action",1209996957
"tcp:514",localhost,syslog,,"___::_,,,,-_:_[]_(_)_[:]_,___",medic,,,"May  5 10:14:56 management,engine,reporting,efc,ustat-0 medic: [RS] (operational failure) [sysmon:check] failed, taking corrective action",1209996896
"tcp:514",localhost,syslog,,"___::_,,,,-_:_[]_(_)_[:]_,___",medic,,,"May  5 10:13:55 management,engine,reporting,efc,ustat-0 medic: [RS] (operational failure) [sysmon:check] failed, taking corrective action",1209996835
"tcp:514","45.0.12.112",syslog,,"___::_..._[]:__...#:___'../':__:_'__(_)'____()",named,,,"May  5 10:13:49 45.0.12.112 named[30382]: client 216.231.45.51#2032: updating zone 'enet.interop.net/IN': update failed: 'RRset exists (value dependent)' prerequisite not satisfied (NXRRSET)",1209996829
"tcp:514","45.0.12.112",syslog,,"___::_..._[]:__...#:___'../':__:_'__(_)'____()",named,,,"May  5 10:12:59 45.0.12.112 named[30382]: client 45.0.12.20#32789: updating zone 'enet.interop.net/IN': update failed: 'RRset exists (value dependent)' prerequisite not satisfied (NXRRSET)",1209996779
"tcp:514","45.0.12.112",syslog,,"___::_..._[]:__...#:___'../':__:_'___'____()",named,,,"May  5 10:12:59 45.0.12.112 named[30382]: client 45.0.12.20#32789: updating zone 'enet.interop.net/IN': update failed: 'name not in use' prerequisite not satisfied (YXDOMAIN)",1209996779
"tcp:514","45.0.12.112",syslog,,"___::_..._[]:__...#:___'../':__:_'__(_)'____()",named,,,"May  5 10:12:59 45.0.12.112 named[30382]: client 45.0.12.20#32789: updating zone 'enet.interop.net/IN': update failed: 'RRset exists (value dependent)' prerequisite not satisfied (NXRRSET)",1209996779
"tcp:514","45.0.12.112",syslog,,"___::_..._[]:__...#:___'../':__:_'___'____()",named,,,"May  5 10:12:59 45.0.12.112 named[30382]: client 45.0.12.20#32789: updating zone 'enet.interop.net/IN': update failed: 'name not in use' prerequisite not satisfied (YXDOMAIN)",1209996779
"tcp:514",localhost,syslog,,"___::_,,,,-_:_[]_(_)_[:]_,___",medic,,,"May  5 10:12:54 management,engine,reporting,efc,ustat-0 medic: [RS] (operational failure) [sysmon:check] failed, taking corrective action",1209996774
"tcp:514",localhost,syslog,,"___::_,,,,-_:_[]_(_)_[:]_,___",medic,,,"May  5 10:11:53 management,engine,reporting,efc,ustat-0 medic: [RS] (operational failure) [sysmon:check] failed, taking corrective action",1209996713
"tcp:514",localhost,syslog,,"___::_,,,,-_:_[]_(_)_[:]_,___",medic,,,"May  5 10:10:52 management,engine,reporting,efc,ustat-0 medic: [RS] (operational failure) [sysmon:check] failed, taking corrective action",1209996652
"tcp:514",localhost,syslog,,"___::_,,,,-_:_[]_(_)_[:]_,___",medic,,,"May  5 10:09:51 management,engine,reporting,efc,ustat-0 medic: [RS] (operational failure) [sysmon:check] failed, taking corrective action",1209996591
"tcp:514","45.0.12.112",syslog,,"___::_..._[]:__...#:___'../':__:_'__(_)'____()",named,,,"May  5 10:09:19 45.0.12.112 named[30381]: client 45.0.12.20#32789: updating zone 'enet.interop.net/IN': update failed: 'RRset exists (value dependent)' prerequisite not satisfied (NXRRSET)",1209996559
"tcp:514","45.0.12.112",syslog,,"___::_..._[]:__...#:___'../':__:_'___'____()",named,,,"May  5 10:09:19 45.0.12.112 named[30382]: client 45.0.12.20#32789: updating zone 'enet.interop.net/IN': update failed: 'name not in use' prerequisite not satisfied (YXDOMAIN)",1209996559
"tcp:514","45.0.12.112",syslog,,"___::_..._[]:__...#:___'../':__:_'__(_)'____()",named,,,"May  5 10:09:19 45.0.12.112 named[30381]: client 45.0.12.20#32789: updating zone 'enet.interop.net/IN': update failed: 'RRset exists (value dependent)' prerequisite not satisfied (NXRRSET)",1209996559
"tcp:514","45.0.12.112",syslog,,"___::_..._[]:__...#:___'../':__:_'___'____()",named,,,"May  5 10:09:19 45.0.12.112 named[30382]: client 45.0.12.20#32789: updating zone 'enet.interop.net/IN': update failed: 'name not in use' prerequisite not satisfied (YXDOMAIN)",1209996559
